num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,1001,10001
3,Nan,1.9 (1.3:2.3),1.8 (0.75:2.5),1.6 (0.533:2.6),1.6 (0.417:6.4),1.7 (0.343:6.8),1.6 (0.292:7.0),1.8 (0.202:11.2),2.0 (0.134:18.9),2.1 (0.103:23.7),2.3 (0.0874:31.4),4.6 (0.00643:302.1),9.0 (0.00106:1824.9)
4,2.5 (1.5:3.5),2.4 (0.667:4.0),2.2 (0.45:9.6),2.1 (0.343:10.5),2.1 (0.278:15.6),2.1 (0.243:16.7),2.2 (0.216:21.6),2.3 (0.15:28.8),2.5 (0.116:35.6),2.8 (0.0873:54.5),2.8 (0.0796:45.1),5.5 (0.00707:550.0),7.9 (0.000784:1730.6)
5,3.0 (1.0:5.0),2.7 (0.533:5.7),2.5 (0.375:13.8),2.5 (0.311:14.5),2.5 (0.258:21.9),2.5 (0.226:22.2),2.6 (0.214:24.0),2.7 (0.139:34.2),2.9 (0.101:46.1),3.2 (0.0743:59.5),3.3 (0.0689:71.7),6.3 (0.0046:544.3),9.7 (0.000873:2587.6)
6,3.4 (0.833:6.5),3.1 (0.476:15.8),2.9 (0.341:18.0),2.9 (0.271:19.5),2.9 (0.233:26.9),2.9 (0.21:29.4),2.9 (0.201:36.9),3.1 (0.135:37.5),3.3 (0.107:52.2),3.5 (0.0871:96.9),3.7 (0.0749:100.0),6.9 (0.00594:668.9),10.5 (0.000642:4758.5)
7,3.8 (0.75:8.0),3.4 (0.444:19.5),3.2 (0.327:22.2),3.2 (0.259:28.6),3.2 (0.212:31.9),3.2 (0.221:42.7),3.2 (0.205:38.2),3.4 (0.145:54.6),3.6 (0.101:76.0),3.8 (0.0695:87.9),4.0 (0.0672:117.8),7.6 (0.0054:915.4),11.0 (0.0007:4022.3)
8,4.1 (0.7:9.5),3.7 (0.424:23.2),3.5 (0.339:25.8),3.4 (0.267:33.6),3.4 (0.222:36.2),3.5 (0.202:47.6),3.5 (0.18:42.0),3.6 (0.154:58.0),3.9 (0.0943:80.1),4.1 (0.0782:109.3),4.2 (0.0659:134.0),8.3 (0.00437:1193.7),11.7 (0.000648:11619.7)
9,4.5 (0.667:11.0),4.0 (0.41:27.0),3.8 (0.317:30.6),3.7 (0.267:42.1),3.7 (0.222:52.9),3.7 (0.201:52.5),3.7 (0.199:54.7),3.9 (0.119:63.5),4.1 (0.0979:89.0),4.3 (0.0736:101.1),4.5 (0.0646:118.2),8.3 (0.00576:1607.9),11.3 (0.000605:6646.4)
10,4.8 (0.643:12.5),4.2 (0.4:29.2),4.0 (0.317:45.8),4.0 (0.258:48.6),3.9 (0.235:51.9),3.9 (0.208:52.8),4.0 (0.185:66.2),4.1 (0.133:75.6),4.3 (0.114:112.1),4.5 (0.0777:132.9),4.7 (0.0706:148.5),8.6 (0.0051:1357.4),12.4 (0.000734:11240.0)
