num choices/num voters,3,5,7,9,11,13,15,21,31,41,51
3,Nan,0.0386,0.0735,0.0998,0.1194,0.1343,0.146,0.1695,0.1908,0.203,0.2111
4,0.1667,0.2763,0.339,0.3766,Nan,Nan,Nan,Nan,Nan,Nan,Nan
5,0.41,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
6,0.6425,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
