num choices/num voters,3,5,7,9,11,13,15,21,31,41,51
3,Nan,1.7863,1.675,1.5679,1.4846,1.4239,1.3802,1.3076,1.265,1.2524,1.2493
4,2.3566,2.0555,1.8568,1.7363,Nan,Nan,Nan,Nan,Nan,Nan,Nan
5,2.5668,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
6,2.7177,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
