num choices/num voters,3,5,7,9,11,13,15,21,31,41,51
3,Nan,1.8333 (1.3333-2.3333),1.7778 (0.75-2.5),1.7164 (0.5333-2.6),1.6719 (0.4167-6.4286),1.6462 (0.3429-6.75),1.635 (0.2917-7.0),1.6494 (0.202-11.1538),1.7252 (0.1339-18.9),1.8081 (0.1003-26.4815),1.8855 (0.0801-31.3636)
4,2.5 (1.5-3.5),2.3313 (0.6667-4.0),2.2147 (0.45-9.6),2.1633 (0.3429-10.5),Nan,Nan,Nan,Nan,Nan,Nan,Nan
5,2.9167 (1.0-5.0),Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
6,3.2682 (0.8333-6.5),Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
