num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,101,121,191,1001,10001,100001
3,Nan,2.3,2.3,2.1,2.1,2.0,1.9,1.9,1.9,1.9,2.0,2.2,2.3,2.6,3.7,5.0,6.9
4,3.5,3.2,3.0,2.9,2.8,2.7,2.7,2.7,2.8,2.7,3.0,3.6,3.6,3.8,4.8,7.9,9.1
5,4.2,3.9,3.7,3.5,3.6,3.5,3.3,3.6,3.7,3.9,3.7,4.4,4.6,5.1,6.5,8.6,12.3
6,4.8,4.6,4.3,4.2,4.1,4.2,4.2,4.2,4.5,4.5,4.8,5.5,5.4,5.9,7.4,9.9,Nan
7,5.4,5.3,4.9,5.0,4.7,4.7,4.9,5.0,5.1,5.2,5.6,6.0,6.0,6.4,8.2,11.1,Nan
8,5.9,5.8,5.6,5.3,5.4,5.2,5.8,5.4,5.7,6.3,6.0,6.3,6.9,7.0,9.5,11.0,Nan
9,6.4,6.2,6.1,5.8,6.0,6.3,5.9,6.1,6.3,6.6,6.0,7.9,7.4,8.0,11.1,13.0,Nan
10,6.6,6.6,6.5,6.4,6.2,6.5,6.3,6.8,6.9,6.9,7.5,7.3,7.7,8.5,11.1,13.6,Nan
