num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,101,121,191,1001,10001,100001
3,Nan,0.0,0.0337,0.0853,0.122,0.158,0.188,0.28,0.356,0.39,0.413,0.429,0.434,0.443,0.429,0.407,0.425
4,0.0,0.0158,0.0599,0.0992,0.133,0.175,0.201,0.272,0.325,0.363,0.369,0.38,0.39,0.388,0.374,0.376,0.372
5,0.0,0.024,0.0602,0.105,0.148,0.172,0.2,0.261,0.307,0.33,0.334,0.357,0.356,0.362,0.362,0.359,0.352
6,0.00298,0.0259,0.0633,0.099,0.138,0.165,0.195,0.251,0.296,0.315,0.321,0.338,0.341,0.345,0.346,0.343,Nan
7,0.00376,0.0256,0.0628,0.102,0.136,0.166,0.19,0.242,0.281,0.305,0.312,0.327,0.331,0.335,0.336,0.333,Nan
8,0.00467,0.0268,0.0623,0.101,0.132,0.162,0.186,0.235,0.274,0.294,0.306,0.321,0.322,0.327,0.33,0.331,Nan
9,0.00563,0.0271,0.0613,0.0999,0.131,0.159,0.181,0.23,0.269,0.288,0.298,0.317,0.315,0.324,0.323,0.322,Nan
10,0.00525,0.028,0.0618,0.0973,0.131,0.156,0.18,0.227,0.266,0.285,0.294,0.311,0.313,0.317,0.32,0.319,Nan
