num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,101,121,191,1001,10001,100001
3,Nan,0.19,0.137,0.102,0.0817,0.0672,0.0545,0.0374,0.0264,0.0182,0.017,0.0109,0.00963,0.00772,0.00404,0.00125,0.0004
4,0.357,0.224,0.158,0.122,0.1,0.0841,0.0736,0.0547,0.0414,0.0314,0.0295,0.0225,0.0191,0.015,0.00639,0.00225,0.0008
5,0.374,0.236,0.172,0.135,0.115,0.0995,0.0828,0.0694,0.0536,0.0448,0.0363,0.0267,0.0253,0.0199,0.00877,0.00302,0.0009
6,0.385,0.249,0.183,0.148,0.122,0.111,0.0986,0.0765,0.0598,0.0511,0.0467,0.0325,0.0292,0.0241,0.0102,0.00315,Nan
7,0.393,0.257,0.19,0.158,0.131,0.117,0.108,0.0873,0.0676,0.0563,0.0512,0.0353,0.0324,0.0252,0.0114,0.00361,Nan
8,0.397,0.261,0.2,0.158,0.143,0.123,0.12,0.089,0.0694,0.0635,0.0523,0.0354,0.0334,0.0279,0.0123,0.0038,Nan
9,0.401,0.264,0.205,0.165,0.147,0.135,0.114,0.0944,0.0759,0.0648,0.0539,0.0415,0.0367,0.0287,0.0132,0.00409,Nan
10,0.399,0.268,0.21,0.175,0.148,0.137,0.12,0.102,0.0781,0.0662,0.0589,0.041,0.0386,0.0296,0.0133,0.0041,Nan
