num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,101,121,191,1001,10001,100001
3,Nan,1.8,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.3,1.2,1.3,1.3,1.3,1.3,1.4,1.4
4,2.4,2.1,1.9,1.7,1.7,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.7
5,2.6,2.2,2.0,1.9,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8
6,2.7,2.3,2.1,2.0,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,Nan
7,2.8,2.4,2.2,2.1,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,Nan
8,2.9,2.5,2.2,2.1,2.1,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.0,Nan
9,3.0,2.5,2.3,2.2,2.1,2.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.1,Nan
10,3.0,2.6,2.3,2.2,2.2,2.1,2.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.1,2.1,Nan
