num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,1001,10001,100001
3,Nan,0.0376,0.0726,0.0959,0.118,0.135,0.148,0.171,0.19,0.207,0.209,0.255,0.263,0.267
4,0.163,0.282,0.341,0.378,0.402,0.422,0.429,0.454,0.472,0.491,0.497,0.541,0.547,0.551
5,0.412,0.547,0.6,0.636,0.664,0.672,0.683,0.708,0.716,0.726,0.739,0.763,0.766,Nan
6,0.639,0.761,0.805,0.818,0.833,0.848,0.854,0.861,0.874,0.886,0.885,0.899,0.903,Nan
7,0.82,0.889,0.914,0.923,0.932,0.94,0.944,0.95,0.955,0.957,0.959,0.967,0.966,Nan
8,0.913,0.956,0.97,0.974,0.979,0.98,0.98,0.984,0.984,0.985,0.988,0.991,0.991,Nan
9,0.963,0.987,0.99,0.992,0.994,0.994,0.994,0.995,0.997,0.997,0.997,0.997,0.998,Nan
10,0.988,0.996,0.998,0.998,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,Nan
