num choices/num voters,3,5,7,9,11,13,15,21,31,41,51
3,0.1667,0.2315,0.2845,0.2851,0.3243,0.3386,0.3309,0.3553,0.3884,0.4,0.4014
4,0.4201,0.5397,0.593,0.6268,Nan,Nan,Nan,Nan,Nan,Nan,Nan
5,0.5846,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
6,0.69,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
