num choices/num voters,3,5,7,9,11,13,15,21,31,41,51
3,-0.5 (-0.5--0.5),-0.2904 (-0.6667--0.1667),-0.2106 (-0.75-0.1),-0.169 (-0.8-0.2143),-0.143 (-0.8333-0.2917),-0.1249 (-0.8571-0.3667),-0.1115 (-0.875-0.4167),-0.0859 (-0.9091-0.5147),-0.064 (-0.9375-0.6077),-0.052 (-0.9524-0.6619),-0.0444 (-0.9615-0.7)
4,-0.5 (-0.5--0.5),-0.4038 (-0.6667--0.1667),-0.3197 (-0.75-0.1),-0.2633 (-0.8-0.2143),Nan,Nan,Nan,Nan,Nan,Nan,Nan
5,-0.5 (-0.5--0.5),Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
6,-0.5 (-0.5--0.5),Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
