num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,101,121,191,1001,10001,100001
3,0.00777,0.0086,0.0381,0.0402,0.0329,0.0608,0.0631,0.0749,0.0992,0.099,0.118,0.133,0.147,0.153,0.183,0.201,0.202
4,0.0045,0.0213,0.0284,0.0338,0.0458,0.052,0.0631,0.0772,0.0993,0.111,0.121,0.154,0.159,0.176,0.218,0.251,0.258
5,0.00295,0.0181,0.0165,0.0372,0.0332,0.0493,0.0509,0.0737,0.0975,0.108,0.128,0.163,0.175,0.191,0.239,0.267,0.281
6,0.00156,0.0164,0.0124,0.03,0.0376,0.0368,0.0501,0.0701,0.0875,0.113,0.124,0.163,0.172,0.192,0.253,0.291,Nan
7,0.157,0.338,0.271,0.346,0.373,0.0337,0.0415,0.0633,0.0878,0.104,0.118,0.165,0.17,0.2,0.263,0.303,Nan
8,0.0006,0.0103,0.0173,0.0167,0.0287,0.0357,0.0372,0.061,0.0828,0.103,0.117,0.156,0.173,0.195,0.269,0.317,Nan
9,0.0004,0.0082,0.017,0.0114,0.0245,0.0348,0.037,0.0528,0.0767,0.0946,0.111,0.159,0.171,0.195,0.287,0.325,Nan
10,0.0004,0.00611,0.0166,0.0138,0.021,0.0311,0.0321,0.0515,0.0757,0.089,0.11,0.154,0.166,0.198,0.274,0.333,Nan
