num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,101,121,191,1001,10001,100001
3,1.0,0.969,0.896,0.887,0.859,0.806,0.806,0.767,0.654,0.694,0.633,0.621,0.598,0.585,0.542,0.549,0.54
4,1.0,0.931,0.932,0.888,0.883,0.829,0.829,0.785,0.727,0.674,0.689,0.605,0.601,0.596,0.555,0.56,0.557
5,1.0,0.958,0.937,0.897,0.875,0.887,0.825,0.79,0.748,0.699,0.678,0.618,0.605,0.572,0.548,0.543,0.542
6,1.0,0.965,0.926,0.928,0.889,0.896,0.859,0.794,0.762,0.719,0.692,0.646,0.615,0.583,0.552,0.549,Nan
7,0.248,0.342,0.419,0.472,0.486,0.888,0.88,0.846,0.786,0.738,0.728,0.637,0.627,0.591,0.554,0.542,Nan
8,1.0,0.971,0.955,0.938,0.925,0.905,0.895,0.861,0.802,0.752,0.714,0.655,0.621,0.605,0.556,0.547,Nan
9,1.0,0.985,0.941,0.979,0.931,0.919,0.917,0.86,0.813,0.766,0.728,0.658,0.659,0.619,0.555,0.546,Nan
10,1.0,0.98,0.967,0.954,0.938,0.919,0.906,0.877,0.804,0.794,0.766,0.665,0.663,0.61,0.556,0.528,Nan
