num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,101,121,191,1001,10001,100001
3,0.00856,0.0167,0.0235,0.031,0.037,0.0412,0.0469,0.0551,0.0714,0.077,0.0831,0.0969,0.104,0.111,0.13,0.139,0.139
4,0.00603,0.0135,0.02,0.0258,0.0305,0.037,0.0405,0.0527,0.066,0.0726,0.081,0.098,0.0991,0.11,0.129,0.144,0.148
5,0.0039,0.00956,0.0154,0.0203,0.0248,0.0302,0.0353,0.0458,0.0585,0.0677,0.0746,0.093,0.0976,0.107,0.13,0.141,0.145
6,0.00288,0.00732,0.0121,0.0168,0.022,0.0252,0.0292,0.0401,0.0526,0.0622,0.0691,0.0891,0.094,0.103,0.128,0.141,Nan
7,0.161,0.224,0.261,0.288,0.306,0.0214,0.0251,0.0345,0.048,0.0571,0.0642,0.0865,0.0892,0.101,0.127,0.14,Nan
8,0.0015,0.0044,0.00766,0.0117,0.015,0.0183,0.0217,0.0308,0.0435,0.0534,0.0608,0.081,0.0864,0.0982,0.124,0.141,Nan
9,0.00117,0.00331,0.00639,0.00955,0.0129,0.0162,0.0192,0.0275,0.0393,0.0487,0.0565,0.0783,0.0831,0.0952,0.125,0.14,Nan
10,0.0008,0.00283,0.00555,0.00835,0.011,0.0135,0.0168,0.0251,0.0364,0.0451,0.0524,0.0747,0.0804,0.0929,0.123,0.139,Nan
