num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,101,121,191,1001,10001,100001
3,1.0,0.946,0.902,0.856,0.819,0.815,0.801,0.751,0.691,0.666,0.643,0.603,0.59,0.576,0.546,0.546,0.541
4,1.0,0.966,0.929,0.894,0.874,0.845,0.825,0.771,0.723,0.673,0.672,0.61,0.605,0.584,0.56,0.557,0.551
5,1.0,0.992,0.961,0.924,0.896,0.864,0.835,0.798,0.737,0.703,0.687,0.617,0.605,0.581,0.555,0.544,0.549
6,1.0,0.994,0.977,0.945,0.912,0.889,0.859,0.814,0.761,0.717,0.69,0.624,0.611,0.59,0.552,0.543,Nan
7,0.0769,0.231,0.354,0.427,0.473,0.914,0.888,0.83,0.788,0.736,0.711,0.634,0.623,0.595,0.554,0.54,Nan
8,1.0,0.998,0.99,0.971,0.955,0.931,0.907,0.855,0.797,0.75,0.723,0.646,0.626,0.601,0.553,0.542,Nan
9,1.0,0.998,0.992,0.985,0.961,0.942,0.933,0.869,0.811,0.771,0.739,0.656,0.641,0.604,0.552,0.538,Nan
10,1.0,0.999,0.994,0.986,0.97,0.957,0.939,0.89,0.827,0.782,0.754,0.667,0.647,0.61,0.549,0.535,Nan
