num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,101,121,191,1001,10001,100001
3,0.63,0.683,0.722,0.73,0.745,0.746,0.735,0.717,0.676,0.649,0.635,0.575,0.567,0.565,0.531,0.506,0.508
4,0.792,0.853,0.828,0.811,0.803,0.787,0.75,0.713,0.692,0.663,0.641,0.609,0.613,0.597,0.562,0.546,0.54
5,0.895,0.936,0.876,0.821,0.839,0.794,0.752,0.728,0.711,0.688,0.675,0.645,0.636,0.622,0.599,0.574,0.575
6,0.937,0.964,0.9,0.831,0.862,0.814,0.766,0.748,0.733,0.72,0.696,0.668,0.658,0.649,0.624,0.608,Nan
7,0.693,0.847,0.823,0.76,0.811,0.834,0.789,0.773,0.757,0.75,0.721,0.701,0.689,0.677,0.645,0.633,Nan
8,0.972,0.986,0.929,0.86,0.907,0.854,0.808,0.796,0.789,0.775,0.753,0.732,0.718,0.705,0.672,0.654,Nan
9,0.978,0.99,0.941,0.878,0.923,0.873,0.828,0.82,0.815,0.799,0.777,0.748,0.74,0.723,0.686,0.669,Nan
10,0.982,0.993,0.95,0.891,0.936,0.892,0.847,0.841,0.834,0.818,0.8,0.767,0.755,0.738,0.704,0.684,Nan
