num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,101,121,191,1001,10001,100001
3,0.708,0.757,0.771,0.808,0.829,0.863,0.887,0.96,1.1,1.2,1.2,1.5,1.5,1.7,2.4,3.4,4.2
4,0.61,0.637,0.671,0.694,0.735,0.763,0.794,0.871,0.959,1.0,1.1,1.3,1.4,1.5,2.1,2.9,4.0
5,0.554,0.554,0.584,0.615,0.638,0.672,0.699,0.762,0.839,0.904,0.965,1.1,1.2,1.3,1.8,2.6,3.3
6,0.532,0.512,0.528,0.555,0.579,0.6,0.625,0.679,0.753,0.804,0.853,1.0,1.1,1.2,1.6,2.3,Nan
7,0.674,0.634,0.639,0.652,0.667,0.551,0.571,0.62,0.693,0.735,0.779,0.92,0.958,1.1,1.4,2.0,Nan
8,0.514,0.463,0.466,0.483,0.499,0.516,0.531,0.575,0.635,0.683,0.718,0.84,0.877,0.972,1.3,1.9,Nan
9,0.511,0.453,0.447,0.456,0.47,0.486,0.499,0.539,0.591,0.632,0.668,0.787,0.818,0.904,1.2,1.7,Nan
10,0.509,0.445,0.432,0.437,0.448,0.459,0.472,0.508,0.557,0.592,0.623,0.73,0.762,0.844,1.1,1.6,Nan
