num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,101,121,191,1001,10001,100001
3,-0.23,-0.1519,-0.1301,-0.1083,-0.1008,-0.0925,-0.082,-0.0636,-0.0503,-0.041,-0.0373,-0.0259,-0.0206,-0.0172,-0.0068,-0.0022,-0.0007
4,-0.3058,-0.2532,-0.2101,-0.1835,-0.1629,-0.1453,-0.135,-0.1113,-0.0898,-0.079,-0.0709,-0.0488,-0.0454,-0.0342,-0.0149,-0.0045,-0.0014
5,-0.3767,-0.3229,-0.2772,-0.2449,-0.2084,-0.1968,-0.1862,-0.1571,-0.1298,-0.1138,-0.0994,-0.0724,-0.0668,-0.0532,-0.0231,-0.0073,-0.0024
6,-0.429,-0.3682,-0.3146,-0.2742,-0.2595,-0.2391,-0.2251,-0.1958,-0.1598,-0.1415,-0.1245,-0.0956,-0.0851,-0.0684,-0.0308,-0.0102,Nan
7,-0.4245,-0.3897,-0.3854,-0.3651,-0.3503,-0.2714,-0.2567,-0.2265,-0.1873,-0.1713,-0.153,-0.1111,-0.1034,-0.0829,-0.0388,-0.0131,Nan
8,-0.5088,-0.4261,-0.3823,-0.3424,-0.3204,-0.298,-0.2872,-0.2459,-0.2112,-0.1912,-0.1737,-0.131,-0.121,-0.0997,-0.0465,-0.0151,Nan
9,-0.5265,-0.451,-0.4087,-0.3648,-0.3402,-0.3195,-0.3075,-0.2726,-0.2374,-0.2123,-0.1972,-0.1498,-0.1367,-0.1114,-0.0531,-0.0178,Nan
10,-0.5567,-0.4696,-0.4234,-0.3917,-0.3629,-0.3455,-0.3296,-0.2957,-0.2554,-0.2343,-0.2141,-0.1623,-0.1518,-0.1244,-0.0593,-0.0203,Nan
