num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,101,121,191,1001,10001,100001
3,0.52,0.578,0.592,0.628,0.629,0.641,0.682,0.745,0.807,0.87,0.906,1.1,1.1,1.2,1.7,2.3,2.8
4,0.38,0.429,0.455,0.477,0.495,0.526,0.551,0.591,0.64,0.683,0.717,0.817,0.848,0.948,1.3,1.7,2.2
5,0.303,0.357,0.379,0.402,0.436,0.438,0.458,0.486,0.529,0.56,0.595,0.666,0.688,0.761,1.0,1.4,1.7
6,0.259,0.32,0.34,0.376,0.374,0.397,0.406,0.425,0.48,0.495,0.533,0.566,0.614,0.658,0.858,1.1,Nan
7,0.553,0.54,0.525,0.524,0.523,0.364,0.368,0.389,0.431,0.438,0.465,0.531,0.538,0.574,0.747,0.959,Nan
8,0.214,0.293,0.302,0.331,0.336,0.345,0.351,0.377,0.405,0.415,0.432,0.477,0.49,0.527,0.642,0.873,Nan
9,0.208,0.284,0.292,0.315,0.33,0.333,0.34,0.352,0.373,0.396,0.399,0.433,0.455,0.48,0.603,0.781,Nan
10,0.196,0.273,0.289,0.306,0.315,0.319,0.325,0.336,0.359,0.369,0.378,0.409,0.42,0.449,0.56,0.717,Nan
