num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,101,121,191,1001,10001,100001
3,0.436,0.514,0.56,0.601,0.63,0.641,0.67,0.723,0.822,0.867,0.903,1.0,1.1,1.2,1.7,2.3,2.9
4,0.332,0.378,0.416,0.441,0.464,0.489,0.511,0.557,0.61,0.664,0.702,0.807,0.828,0.926,1.3,1.8,2.4
5,0.275,0.299,0.327,0.35,0.367,0.388,0.406,0.439,0.482,0.518,0.555,0.637,0.668,0.743,1.0,1.4,1.8
6,0.246,0.263,0.28,0.301,0.316,0.331,0.341,0.373,0.415,0.439,0.466,0.538,0.57,0.625,0.846,1.2,Nan
7,0.426,0.394,0.389,0.392,0.399,0.29,0.302,0.327,0.364,0.387,0.408,0.48,0.498,0.548,0.744,1.0,Nan
8,0.219,0.223,0.233,0.245,0.255,0.264,0.274,0.294,0.326,0.351,0.367,0.427,0.442,0.489,0.656,0.93,Nan
9,0.214,0.214,0.22,0.226,0.235,0.245,0.25,0.272,0.297,0.318,0.334,0.389,0.405,0.445,0.605,0.843,Nan
10,0.207,0.207,0.208,0.214,0.221,0.226,0.234,0.251,0.276,0.293,0.306,0.357,0.372,0.408,0.551,0.773,Nan
