num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,1001,10001
3,-0.5 (-0.5:-0.5),-0.34552 (-0.66667:-0.16667),-0.26476 (-0.75:0.1),-0.21626 (-0.8:0.214),-0.18396 (-0.83333:0.292),-0.15756 (-0.85714:0.367),-0.14869 (-0.875:0.417),-0.11203 (-0.90909:0.515),-0.09514 (-0.9375:0.608),-0.0784 (-0.95238:0.662),-0.07039 (-0.96154:0.7),-0.04734 (-0.94376:0.847),-0.03787 (-0.90496:0.903)
4,-0.5 (-0.5:-0.5),-0.4087 (-0.66667:-0.16667),-0.32474 (-0.75:0.1),-0.27507 (-0.8:0.214),-0.23683 (-0.83333:0.292),-0.20754 (-0.85714:0.367),-0.18608 (-0.875:0.417),-0.1459 (-0.90909:0.515),-0.11198 (-0.9375:0.608),-0.09146 (-0.95238:0.662),-0.08374 (-0.96154:0.7),-0.04389 (-0.94556:0.929),-0.03974 (-0.93225:0.908)
5,-0.5 (-0.5:-0.5),-0.44632 (-0.66667:-0.16667),-0.37927 (-0.75:0.1),-0.32198 (-0.8:0.214),-0.28414 (-0.83333:0.292),-0.25177 (-0.85714:0.367),-0.222 (-0.875:0.417),-0.17283 (-0.90909:0.515),-0.12807 (-0.9375:0.608),-0.10398 (-0.95238:0.662),-0.09421 (-0.96154:0.7),-0.03464 (-0.97578:0.928),-0.02736 (-0.96856:0.948)
6,-0.5 (-0.5:-0.5),-0.46821 (-0.66667:-0.16667),-0.41458 (-0.75:0.1),-0.36344 (-0.8:0.214),-0.32529 (-0.83333:0.292),-0.28899 (-0.85714:0.367),-0.25865 (-0.875:0.417),-0.20394 (-0.90909:0.515),-0.14745 (-0.9375:0.608),-0.12128 (-0.95238:0.662),-0.10104 (-0.96154:0.7),-0.02985 (-0.9563:0.926),-0.0264 (-0.95278:0.958)
7,-0.5 (-0.5:-0.5),-0.48327 (-0.66667:-0.16667),-0.44149 (-0.75:0.1),-0.39686 (-0.8:0.214),-0.35637 (-0.83333:0.292),-0.32185 (-0.85714:0.367),-0.29234 (-0.875:0.417),-0.22832 (-0.90909:0.515),-0.1713 (-0.9375:0.608),-0.13494 (-0.95238:0.662),-0.11348 (-0.96154:0.7),-0.0294 (-0.998:0.932),-0.02336 (-0.98593:0.96)
8,-0.5 (-0.5:-0.5),-0.49579 (-0.66667:-0.16667),-0.46033 (-0.75:0.1),-0.42147 (-0.8:0.214),-0.38348 (-0.83333:0.292),-0.3473 (-0.85714:0.367),-0.32077 (-0.875:0.417),-0.25382 (-0.90909:0.515),-0.18852 (-0.9375:0.608),-0.1507 (-0.95238:0.662),-0.12892 (-0.96154:0.7),-0.02377 (-0.96785:0.936),-0.01972 (-0.97606:0.958)
9,-0.5 (-0.5:-0.5),-0.50555 (-0.66667:-0.16667),-0.47412 (-0.75:0.1),-0.4397 (-0.8:0.214),-0.40484 (-0.83333:0.292),-0.37255 (-0.85714:0.367),-0.34542 (-0.875:0.417),-0.27835 (-0.90909:0.515),-0.20769 (-0.9375:0.608),-0.16737 (-0.95238:0.662),-0.14011 (-0.96154:0.7),-0.02198 (-0.99394:0.93),-0.01845 (-0.96865:0.964)
10,-0.5 (-0.5:-0.5),-0.51044 (-0.66667:-0.16667),-0.4864 (-0.75:0.1),-0.45579 (-0.8:0.214),-0.42423 (-0.83333:0.292),-0.39487 (-0.85714:0.367),-0.36777 (-0.875:0.417),-0.29816 (-0.90909:0.515),-0.2238 (-0.9375:0.608),-0.18086 (-0.95238:0.662),-0.15221 (-0.96154:0.7),-0.02406 (-0.97577:0.934),-0.01845 (-0.98198:0.952)
