num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,101,121,191,1001,10001,100001
3,0.0553,0.0835,0.101,0.114,0.123,0.129,0.132,0.142,0.153,0.159,0.165,0.17,0.174,0.178,0.189,0.194,0.193
4,0.0924,0.125,0.145,0.158,0.164,0.171,0.179,0.189,0.201,0.205,0.211,0.223,0.224,0.231,0.241,0.248,0.251
5,0.106,0.145,0.167,0.18,0.188,0.198,0.203,0.216,0.227,0.232,0.239,0.25,0.252,0.257,0.272,0.28,0.279
6,0.111,0.153,0.178,0.193,0.202,0.211,0.218,0.23,0.244,0.251,0.256,0.271,0.274,0.279,0.293,0.302,Nan
7,0.109,0.158,0.183,0.198,0.211,0.22,0.226,0.241,0.254,0.264,0.27,0.284,0.286,0.293,0.307,0.317,Nan
8,0.106,0.157,0.186,0.204,0.215,0.224,0.232,0.248,0.261,0.273,0.278,0.294,0.299,0.306,0.32,0.33,Nan
9,0.101,0.154,0.185,0.204,0.219,0.228,0.236,0.253,0.269,0.279,0.284,0.302,0.305,0.314,0.331,0.339,Nan
10,0.0951,0.151,0.183,0.205,0.219,0.23,0.239,0.256,0.274,0.283,0.29,0.308,0.312,0.319,0.338,0.348,Nan
