num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,101,121,191,1001,10001,100001
3,Nan,Nan,0.75,0.729,0.697,0.777,0.783,0.812,0.996,0.98,1.0,1.3,1.4,1.5,2.0,2.8,3.7
4,Nan,0.667,0.663,0.686,0.718,0.759,0.762,0.802,0.893,0.969,1.0,1.2,1.2,1.3,1.8,2.4,3.1
5,Nan,0.643,0.617,0.673,0.679,0.723,0.743,0.794,0.823,0.903,0.935,1.1,1.1,1.3,1.6,2.2,2.8
6,Nan,0.627,0.603,0.66,0.673,0.671,0.702,0.752,0.813,0.866,0.918,0.996,1.0,1.1,1.5,2.1,Nan
7,Nan,0.61,0.606,0.638,0.668,0.673,0.711,0.739,0.791,0.815,0.827,0.977,0.976,1.1,1.3,1.8,Nan
8,Nan,0.599,0.611,0.61,0.656,0.649,0.679,0.718,0.783,0.805,0.828,0.896,0.939,0.993,1.2,1.7,Nan
9,Nan,0.59,0.608,0.594,0.651,0.663,0.656,0.687,0.742,0.776,0.809,0.851,0.856,0.942,1.2,1.4,Nan
10,Nan,0.576,0.609,0.594,0.623,0.646,0.668,0.685,0.708,0.748,0.778,0.817,0.842,0.912,1.1,1.5,Nan
