num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,101,121,191,1001,10001,100001
3,0.5,0.543,0.562,0.59,0.601,0.602,0.612,0.627,0.662,0.677,0.671,0.724,0.74,0.764,0.764,0.803,0.798
4,0.5,0.474,0.486,0.5,0.513,0.526,0.54,0.562,0.577,0.599,0.611,0.635,0.636,0.653,0.678,0.694,0.713
5,0.5,0.445,0.442,0.452,0.462,0.476,0.49,0.508,0.526,0.544,0.551,0.574,0.584,0.596,0.617,0.633,0.635
6,0.5,0.433,0.418,0.422,0.428,0.436,0.446,0.468,0.486,0.5,0.507,0.533,0.534,0.547,0.559,0.576,Nan
7,0.5,0.425,0.404,0.399,0.403,0.408,0.416,0.435,0.456,0.463,0.475,0.493,0.498,0.509,0.522,0.535,Nan
8,0.5,0.42,0.394,0.385,0.384,0.388,0.393,0.408,0.427,0.443,0.447,0.463,0.469,0.477,0.491,0.496,Nan
9,0.5,0.419,0.387,0.374,0.371,0.372,0.374,0.387,0.406,0.416,0.425,0.441,0.446,0.455,0.466,0.47,Nan
10,0.5,0.418,0.383,0.366,0.36,0.357,0.359,0.368,0.386,0.394,0.403,0.419,0.424,0.432,0.444,0.447,Nan
