num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,101,121,191,1001,10001,100001
3,Nan,Nan,0.75,0.68,0.617,0.701,0.681,0.667,0.75,0.707,0.724,0.775,0.828,0.809,0.841,0.836,0.874
4,Nan,0.667,0.606,0.622,0.63,0.648,0.636,0.628,0.642,0.681,0.683,0.701,0.715,0.713,0.73,0.754,0.784
5,Nan,0.622,0.545,0.6,0.578,0.608,0.609,0.618,0.6,0.635,0.641,0.661,0.663,0.677,0.682,0.688,0.708
6,Nan,0.596,0.54,0.577,0.579,0.556,0.576,0.587,0.599,0.606,0.624,0.614,0.626,0.624,0.647,0.642,Nan
7,Nan,0.57,0.55,0.549,0.573,0.559,0.584,0.579,0.583,0.583,0.568,0.601,0.588,0.594,0.597,0.593,Nan
8,Nan,0.555,0.56,0.52,0.559,0.544,0.556,0.565,0.585,0.574,0.571,0.564,0.571,0.566,0.553,0.549,Nan
9,Nan,0.542,0.559,0.507,0.55,0.559,0.537,0.541,0.556,0.56,0.563,0.546,0.536,0.55,0.543,0.513,Nan
10,Nan,0.524,0.557,0.517,0.525,0.542,0.556,0.539,0.543,0.544,0.545,0.526,0.53,0.536,0.511,0.494,Nan
