num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,101,121,191,1001,10001,100001
3,0.166,0.228,0.281,0.29,0.33,0.344,0.331,0.353,0.391,0.404,0.406,0.427,0.433,0.439,0.462,0.47,0.47
4,0.413,0.535,0.594,0.628,0.646,0.661,0.675,0.698,0.721,0.728,0.738,0.763,0.764,0.775,0.791,0.806,0.808
5,0.575,0.724,0.794,0.82,0.846,0.858,0.865,0.887,0.899,0.907,0.913,0.927,0.93,0.932,0.944,0.949,0.948
6,0.691,0.849,0.9,0.926,0.936,0.945,0.952,0.961,0.971,0.973,0.977,0.982,0.982,0.985,0.989,0.991,Nan
7,0.762,0.918,0.95,0.965,0.977,0.98,0.982,0.988,0.992,0.994,0.995,0.996,0.997,0.997,0.998,0.999,Nan
8,0.813,0.951,0.978,0.987,0.99,0.993,0.994,0.996,0.998,0.999,0.999,1.0,1.0,1.0,1.0,1.0,Nan
9,0.845,0.967,0.988,0.993,0.996,0.997,0.998,0.999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Nan
10,0.866,0.976,0.993,0.998,0.999,0.999,0.999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Nan
