num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,101,121,191,1001,10001,100001
3,Nan,Nan,0.0708,0.0831,0.0715,0.11,0.11,0.127,0.146,0.146,0.161,0.175,0.181,0.184,0.207,0.218,0.218
4,Nan,0.0673,0.0981,0.108,0.136,0.139,0.158,0.168,0.187,0.205,0.209,0.235,0.236,0.247,0.274,0.293,0.299
5,Nan,0.105,0.0953,0.146,0.137,0.166,0.165,0.189,0.207,0.224,0.235,0.256,0.269,0.275,0.307,0.324,0.325
6,Nan,0.125,0.0989,0.152,0.153,0.155,0.179,0.198,0.215,0.226,0.24,0.27,0.274,0.288,0.321,0.337,Nan
7,Nan,0.131,0.106,0.139,0.161,0.155,0.173,0.195,0.218,0.232,0.238,0.271,0.277,0.293,0.318,0.344,Nan
8,Nan,0.13,0.119,0.131,0.164,0.162,0.168,0.188,0.212,0.229,0.236,0.261,0.267,0.285,0.317,0.343,Nan
9,Nan,0.122,0.125,0.117,0.16,0.167,0.169,0.191,0.208,0.218,0.229,0.263,0.259,0.277,0.312,0.336,Nan
10,Nan,0.115,0.134,0.119,0.148,0.169,0.162,0.188,0.208,0.211,0.223,0.25,0.255,0.27,0.309,0.331,Nan
