num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,101,111,121,131,141,151,161,171,181,191,193,195,197,199,201,211,221,231,241,251,301,401,501,601,701,801,901,1001,10001,100001
3,0.756,0.8,0.734,0.703,0.69,0.677,0.617,0.604,0.58,0.552,0.561,0.524,0.529,0.518,0.518,0.51,0.507,0.519,0.518,0.517,0.519,0.519,0.521,0.509,0.513,0.505,0.52,0.518,0.515,0.516,0.504,0.509,0.521,0.502,0.505,0.504,0.502,0.507,0.504,0.493,0.499
4,0.865,0.885,0.785,0.725,0.73,0.686,0.638,0.606,0.577,0.561,0.543,0.524,0.518,0.513,0.516,0.518,0.513,0.509,0.515,0.509,0.509,0.507,0.504,0.508,0.505,0.504,0.509,0.511,0.502,0.505,0.504,0.501,0.495,0.496,0.497,0.496,0.495,0.495,0.492,0.496,Nan
5,0.924,0.943,0.829,0.748,0.764,0.698,0.65,0.615,0.592,0.567,0.549,0.528,0.522,0.524,0.518,0.512,0.516,0.511,0.517,0.513,0.512,0.511,0.511,0.511,0.509,0.507,0.504,0.508,0.502,0.506,0.503,0.501,0.503,0.499,0.502,0.498,0.499,0.493,0.491,0.497,Nan
6,0.956,0.966,0.854,0.774,0.789,0.715,0.669,0.629,0.601,0.578,0.558,0.522,0.52,0.515,0.516,0.516,0.51,0.513,0.507,0.507,0.513,0.507,0.505,0.507,0.505,0.506,0.504,0.503,0.507,0.505,0.5,0.502,0.498,0.496,0.496,0.494,0.492,0.491,0.487,0.489,Nan
7,0.969,0.979,0.88,0.79,0.813,0.737,0.691,0.643,0.613,0.586,0.563,0.527,0.522,0.518,0.517,0.511,0.513,0.515,0.507,0.509,0.505,0.505,0.504,0.504,0.506,0.505,0.503,0.502,0.501,0.501,0.5,0.498,0.495,0.49,0.49,0.489,0.489,0.489,0.483,0.485,Nan
8,0.978,0.985,0.897,0.813,0.834,0.76,0.712,0.666,0.629,0.599,0.57,0.529,0.523,0.519,0.519,0.515,0.515,0.509,0.507,0.505,0.506,0.504,0.503,0.507,0.504,0.503,0.503,0.502,0.499,0.5,0.497,0.496,0.49,0.489,0.486,0.484,0.483,0.483,0.486,0.479,Nan
9,0.983,0.989,0.911,0.837,0.854,0.785,0.739,0.684,0.643,0.613,0.582,0.534,0.529,0.521,0.521,0.515,0.512,0.513,0.508,0.508,0.506,0.506,0.503,0.505,0.504,0.503,0.502,0.501,0.5,0.5,0.498,0.495,0.488,0.484,0.484,0.481,0.48,0.479,0.479,0.475,Nan
10,0.987,0.991,0.923,0.854,0.872,0.804,0.757,0.701,0.66,0.622,0.59,0.539,0.532,0.526,0.525,0.521,0.518,0.515,0.512,0.51,0.508,0.506,0.504,0.507,0.507,0.504,0.505,0.5,0.499,0.499,0.496,0.493,0.488,0.486,0.483,0.48,0.482,0.479,0.476,0.468,Nan
