num choices/num voters,3,5,7,9,11,13,15,21,31,41,51,101,111,121,131,141,151,161,171,181,191,193,195,197,199,201,211,221,231,241,251,301,401,501,601,701,801,901,1001,10001,100001
3,-0.367,-0.229,-0.163,-0.131,-0.104,-0.089,-0.079,-0.057,-0.038,-0.029,-0.031,-0.014,-0.017,-0.012,-0.013,-0.010,-0.006,-0.011,-0.013,-0.010,-0.013,-0.012,-0.012,-0.007,-0.011,-0.007,-0.014,-0.010,-0.012,-0.010,-0.012,-0.009,-0.012,-0.005,-0.008,-0.005,-0.007,-0.009,-0.002,-0.002,-0.004
4,-0.430,-0.312,-0.233,-0.184,-0.147,-0.124,-0.106,-0.075,-0.045,-0.037,-0.025,-0.013,-0.012,-0.007,-0.009,-0.008,-0.006,-0.005,-0.008,-0.006,-0.004,-0.003,-0.002,-0.004,-0.003,-0.001,-0.006,-0.005,-0.002,-0.002,-0.005,-0.003,0.002,0.002,0.001,0.002,0.003,0.004,0.004,0.003,Nan
5,-0.461,-0.379,-0.298,-0.241,-0.201,-0.170,-0.144,-0.102,-0.068,-0.048,-0.036,-0.016,-0.012,-0.012,-0.012,-0.007,-0.009,-0.005,-0.010,-0.005,-0.007,-0.005,-0.005,-0.006,-0.004,-0.003,-0.003,-0.004,-0.001,-0.002,0.000,-0.001,-0.001,0.002,0.002,0.003,0.003,0.005,0.006,0.005,Nan
6,-0.478,-0.419,-0.348,-0.291,-0.245,-0.209,-0.180,-0.130,-0.084,-0.060,-0.046,-0.015,-0.013,-0.009,-0.010,-0.010,-0.004,-0.006,-0.003,-0.003,-0.005,-0.001,-0.002,-0.002,-0.002,-0.002,-0.001,-0.001,-0.002,-0.001,0.003,0.003,0.005,0.007,0.006,0.007,0.009,0.010,0.011,0.012,Nan
7,-0.484,-0.447,-0.386,-0.325,-0.283,-0.246,-0.217,-0.153,-0.101,-0.071,-0.054,-0.018,-0.014,-0.011,-0.010,-0.007,-0.007,-0.007,-0.002,-0.003,-0.001,-0.001,0.001,0.000,-0.001,-0.001,0.001,0.001,0.003,0.002,0.004,0.005,0.009,0.012,0.013,0.013,0.014,0.014,0.017,0.017,Nan
8,-0.489,-0.464,-0.413,-0.359,-0.316,-0.275,-0.244,-0.180,-0.119,-0.084,-0.062,-0.021,-0.017,-0.012,-0.012,-0.009,-0.008,-0.003,-0.003,0.000,-0.001,0.001,0.001,0.000,0.001,0.002,0.003,0.003,0.006,0.005,0.007,0.008,0.013,0.014,0.016,0.017,0.018,0.018,0.017,0.022,Nan
9,-0.492,-0.479,-0.435,-0.389,-0.343,-0.307,-0.276,-0.203,-0.134,-0.099,-0.075,-0.025,-0.021,-0.015,-0.015,-0.009,-0.007,-0.007,-0.003,-0.001,-0.001,-0.001,0.002,0.001,0.001,0.002,0.003,0.003,0.005,0.005,0.006,0.008,0.015,0.018,0.019,0.021,0.021,0.023,0.023,0.027,Nan
10,-0.494,-0.490,-0.452,-0.410,-0.368,-0.331,-0.297,-0.224,-0.152,-0.111,-0.084,-0.029,-0.025,-0.019,-0.017,-0.014,-0.011,-0.009,-0.006,-0.004,-0.003,-0.001,-0.001,-0.002,-0.001,0.001,0.001,0.003,0.004,0.006,0.008,0.010,0.014,0.018,0.020,0.022,0.021,0.024,0.025,0.032,Nan
